tcm,tcm_index,target_gene_id
金花清感颗粒,tcm-0001,54490
金花清感颗粒,tcm-0001,3291
金花清感颗粒,tcm-0001,7412
金花清感颗粒,tcm-0001,7422
金花清感颗粒,tcm-0001,7442
金花清感颗粒,tcm-0001,339221
金花清感颗粒,tcm-0001,9493
金花清感颗粒,tcm-0001,9516
金花清感颗粒,tcm-0001,5424
金花清感颗粒,tcm-0001,3381
金花清感颗粒,tcm-0001,3383
金花清感颗粒,tcm-0001,5444
金花清感颗粒,tcm-0001,5447
金花清感颗粒,tcm-0001,1352
金花清感颗粒,tcm-0001,50506
金花清感颗粒,tcm-0001,7498
金花清感颗粒,tcm-0001,140625
金花清感颗粒,tcm-0001,5465
金花清感颗粒,tcm-0001,5468
金花清感颗粒,tcm-0001,546143
金花清感颗粒,tcm-0001,1385
金花清感颗粒,tcm-0001,1386
金花清感颗粒,tcm-0001,1390
金花清感颗粒,tcm-0001,3458
金花清感颗粒,tcm-0001,3481
金花清感颗粒,tcm-0001,5530
金花清感颗粒,tcm-0001,3500
金花清感颗粒,tcm-0001,3512
金花清感颗粒,tcm-0001,5578
金花清感颗粒,tcm-0001,5579
金花清感颗粒,tcm-0001,93650
金花清感颗粒,tcm-0001,1491
金花清感颗粒,tcm-0001,1499
金花清感颗粒,tcm-0001,3553
金花清感颗粒,tcm-0001,493027
金花清感颗粒,tcm-0001,1509
金花清感颗粒,tcm-0001,3558
金花清感颗粒,tcm-0001,1514
金花清感颗粒,tcm-0001,3565
金花清感颗粒,tcm-0001,3569
金花清感颗粒,tcm-0001,3575
金花清感颗粒,tcm-0001,3576
金花清感颗粒,tcm-0001,3586
金花清感颗粒,tcm-0001,1543
金花清感颗粒,tcm-0001,1544
金花清感颗粒,tcm-0001,1545
金花清感颗粒,tcm-0001,3592
金花清感颗粒,tcm-0001,54795
金花清感颗粒,tcm-0001,5644
金花清感颗粒,tcm-0001,3593
金花清感颗粒,tcm-0001,3596
金花清感颗粒,tcm-0001,151056
金花清感颗粒,tcm-0001,56849
金花清感颗粒,tcm-0001,1555
金花清感颗粒,tcm-0001,1571
金花清感颗粒,tcm-0001,7716
金花清感颗粒,tcm-0001,1576
金花清感颗粒,tcm-0001,100036147
金花清感颗粒,tcm-0001,1588
金花清感颗粒,tcm-0001,345651
金花清感颗粒,tcm-0001,3643
金花清感颗粒,tcm-0001,9787
金花清感颗粒,tcm-0001,3655
金花清感颗粒,tcm-0001,3659
金花清感颗粒,tcm-0001,5709
金花清感颗粒,tcm-0001,83540
金花清感颗粒,tcm-0001,5733
金花清感颗粒,tcm-0001,56938
金花清感颗粒,tcm-0001,3692
金花清感颗粒,tcm-0001,1645
金花清感颗粒,tcm-0001,5742
金花清感颗粒,tcm-0001,5743
金花清感颗粒,tcm-0001,1644
金花清感颗粒,tcm-0001,3717
金花清感颗粒,tcm-0001,83592
金花清感颗粒,tcm-0001,3725
金花清感颗粒,tcm-0001,81569
金花清感颗粒,tcm-0001,7850
金花清感颗粒,tcm-0001,3757
金花清感颗粒,tcm-0001,7855
金花清感颗粒,tcm-0001,57016
金花清感颗粒,tcm-0001,1733
金花清感颗粒,tcm-0001,3783
